SurveyCode,CountryCode,PlatformCode,StartDate,EndDate,LocalID
WESPAS,IE,45CE,2020-06-03,2020-06-22,45CE2020WESPAS
WESPAS~HERAS,IE,45CE,2020-06-23,2020-07-12,45CE2020WESPAS_L2
